,출생,사망,전입,전출,혼인,이혼,cluster,cluster_s,위도,경도,동
285,181,95,4201,4992,108,36,2,0,37.4975793,127.1271081,가락2동
286,191,85,3954,4800,122,38,2,0,37.494596,127.1205972,가락본동
287,48,46,1667,2056,53,25,0,1,37.4959276,127.1412445,거여1동
288,95,86,2322,2725,87,37,0,0,37.4935399,127.1468628,거여2동
289,50,152,2109,2710,40,49,0,0,37.4919452,127.15442,마천1동
290,60,129,2133,2732,57,35,0,0,37.4919452,127.15442,마천2동
291,126,77,2863,3538,90,31,2,0,37.50542,127.1391,문정1동
292,183,81,6309,6830,224,46,1,2,37.5041995,127.1302592,문정2동
293,63,56,2141,2617,63,28,0,1,37.5109882,127.1239088,방이1동
294,142,94,6303,6002,161,50,1,2,37.5026982,127.0993482,방이2동
295,165,108,5018,6135,176,54,1,2,37.5027234,127.0925526,삼전동
296,187,94,5358,6269,209,48,1,2,37.5041198,127.1040452,석촌동
297,175,81,4359,5282,158,31,2,2,37.5058895,127.1098693,송파1동
298,95,77,2344,3833,52,25,2,1,37.502328,127.116687,송파2동
299,209,175,4937,5996,115,57,1,2,37.5033781,127.1286118,오금동
300,46,47,1820,2227,26,17,0,1,37.521128,127.1337542,오륜동
301,295,55,13142,4566,71,31,1,2,37.4742312,127.1434465,위례동
302,169,70,4139,4993,64,23,2,0,37.5119198,127.0885141598288,잠실2동
303,170,94,4361,5234,58,40,2,0,37.5133081,127.094409242774,잠실3동
304,113,52,2432,2689,40,9,0,1,37.520124,127.112382176712,잠실4동
305,95,44,2075,2406,56,16,0,1,37.5169432,127.1006198,잠실6동
306,34,42,975,1238,18,11,0,1,37.5068569,127.0746595,잠실7동
307,143,105,5321,5841,131,52,1,2,37.5067395,127.0855685,잠실본동
308,210,124,4416,5128,135,50,2,2,37.4864094,127.1328252,장지동
309,76,69,1415,2313,50,26,0,1,37.5382184,127.1219867,풍납1동
310,144,96,3261,3957,95,24,2,0,37.528733,127.116806,풍납2동
